Loading repository data...
Reading installed packages...

S | Name                                       | Summary                                                                                              | Type       
i | kopete                                     | Instant Messenger                                                                                    | package    
i | korganizer                                 | Personal Organizer                                                                                   | package    
i | kpartx                                     | Manages partition tables on device-mapper devices                                                    | package    
i | kpat                                       | Patience card game                                                                                   | package    
i | krb5                                       | MIT Kerberos5 Implementation--Libraries                                                              | package    
i | krdc                                       | Remote Desktop Connection                                                                            | package    
i | kreversi                                   | Reversi board game                                                                                   | package    
i | krfb                                       | Desktop Sharing                                                                                      | package    
i | kruler                                     | Screen Ruler                                                                                         | package    
i | kscd                                       | CD Player                                                                                            | package    
i | kscreen                                    | KDE's screen management software                                                                     | package    
i | ksh                                        | Korn Shell                                                                                           | package    
i | ksnapshot                                  | Screen Capture Program                                                                               | package    
i | ksshaskpass                                | KDE 4 version of ssh-askpass                                                                         | package    
i | ksudoku                                    | Generate and Solve Sudoku puzzles in 2D or 3D                                                        | package    
i | ktorrent                                   | KDE BitTorrent Client                                                                                | package    
i | kvkbd                                      | Virtual keyboard for KDE                                                                             | package    
i | kwalletmanager                             | Wallet Management Tool                                                                               | package    
i | kwebkitpart                                | KDE Webkit web browser component                                                                     | package    
i | kwin                                       | KDE Window Manager                                                                                   | package    
i | kwrite                                     | KDE Text Editor                                                                                      | package    
i | lcms2                                      | Little CMS Engine - A color managment library and tools                                              | package    
i | less                                       | Text File Browser and Pager Similar to more                                                          | package    
i | lib++dfb-1_7-5                             | Graphics Library for Framebuffer Devices                                                             | package    
i | libFLAC++6                                 | Free Lossless Audio Codec Library                                                                    | package    
i | libFLAC8                                   | Free Lossless Audio Codec Library                                                                    | package    
i | libGLEW1_10                                | OpenGL Extension Wrangler Library                                                                    | package    
i | libGLU1                                    | OpenGL utility library                                                                               | package    
i | libHX28                                    | Useful collection of routines for C and C++ programming                                              | package    
i | libHalf11                                  | Base library for ILM software (OpenEXR)                                                              | package    
i | libICE6                                    | X11 Inter-Client Exchange Library                                                                    | package    
i | libIL1                                     | A full featured cross platform image library                                                         | package    
i | libIex-2_1-11                              | Base library for ILM software (OpenEXR)                                                              | package    
i | libIexMath-2_1-11                          | Base library for ILM software (OpenEXR)                                                              | package    
i | libIlmImf-Imf_2_1-21                       | Library to Handle EXR Pictures in 16-Bit Floating-Point Format                                       | package    
i | libIlmThread-2_1-11                        | Base library for ILM software (OpenEXR)                                                              | package    
i | libImath-2_1-11                            | Base library for ILM software (OpenEXR)                                                              | package    
i | libLLVM                                    | Libraries for LLVM                                                                                   | package    
i | libMagickCore-6_Q16-2                      | Viewer and Converter for Images - runtime library                                                    | package    
i | libMagickWand-6_Q16-2                      | Viewer and Converter for Images - runtime library                                                    | package    
i | libModemManagerQt0                         | Qt wrapper around the ModemManager libraries                                                         | package    
i | libNetworkManagerQt1                       | Qt Wrapper for NetworkManager libraries                                                              | package    
i | libQt5Core5                                | Qt 5 Core Library                                                                                    | package    
i | libQt5DBus5                                | Qt 5 DBus Library                                                                                    | package    
i | libQt5Gui5                                 | Qt 5 GUI related libraries                                                                           | package    
i | libQt5Widgets5                             | Qt 5 Widgets Library                                                                                 | package    
i | libQt5X11Extras5                           | Qt 5 X11 Extras Addon                                                                                | package    
i | libQtWebKit4                               | Open source Web Browser engine based on Qt4                                                          | package    
i | libSDL-1_2-0                               | Simple DirectMedia Layer Library                                                                     | package    
i | libSDL-devel                               | SDL Library Developer Files                                                                          | package    
i | libSDL2-2_0-0                              | Simple DirectMedia Layer Library                                                                     | package    
i | libSDL2-devel                              | SDL2 Library Developer Files                                                                         | package    
i | libSDL2_image-2_0-0                        | Simple DirectMedia Layer--Sample Image Loading Library                                               | package    
i | libSDL2_image-devel                        | Libraries, includes and more to develop SDL_image applications                                       | package    
i | libSDL2_ttf-2_0-0                          | Simple DirectMedia Layer - Truetype Library                                                          | package    
i | libSDL2_ttf-devel                          | Simple DirectMedia Layer - Truetype Library                                                          | package    
i | libSDL_gfx-devel                           | Libraries, includes and more to develop SDL_gfx applications                                         | package    
i | libSDL_gfx15                               | SDL Graphics Routines for Primitives and Other Support Functions                                     | package    
i | libSDL_image-1_2-0                         | Simple DirectMedia Layer--Sample Image Loading Library                                               | package    
i | libSDL_image-devel                         | Libraries, includes and more to develop SDL_image applications                                       | package    
i | libSDL_ttf-2_0-0                           | Simple DirectMedia Layer - Truetype Library                                                          | package    
i | libSDL_ttf-devel                           | Simple DirectMedia Layer - Truetype Library                                                          | package    
i | libSM6                                     | X Session Management library                                                                         | package    
i | libX11-6                                   | Core X11 protocol client library                                                                     | package    
i | libX11-devel                               | Development files for the Core X11 protocol library                                                  | package    
i | libX11-xcb1                                | XCB X11 protocol client library                                                                      | package    
i | libXRes1                                   | X Resource extension client library                                                                  | package    
i | libXau-devel                               | Development files for the X11 authorization protocol library                                         | package    
i | libXau6                                    | X11 authorization protocol library                                                                   | package    
i | libXaw7                                    | The X Athena Widget Set                                                                              | package    
i | libXcomposite1                             | X11 protocol Composite extension client library                                                      | package    
i | libXcursor1                                | X Window System Cursor management library                                                            | package    
i | libXdamage-devel                           | Development files for the X Damage Extension library                                                 | package    
i | libXdamage1                                | X Damage Extension library                                                                           | package    
i | libXdmcp6                                  | X Display Manager Control Protocol library                                                           | package    
i | libXevie1                                  | X Event Interception Extension library                                                               | package    
i | libXext-devel                              | Development files for the X11 Common Extensions library                                              | package    
i | libXext6                                   | Common extensions to the X11 protocol                                                                | package    
i | libXfixes-devel                            | Development files for the X11 Xfixes extension library                                               | package    
i | libXfixes3                                 | X11 miscellaneous "fixes" extension library                                                          | package    
i | libXfont1                                  | X font handling library for server and utilities                                                     | package    
i | libXfontcache1                             | X TrueType font cache extension client library                                                       | package    
i | libXft2                                    | X FreeType library                                                                                   | package    
i | libXi6                                     | X Input Extension library                                                                            | package    
i | libXinerama1                               | Xinerama extension to the X11 Protocol                                                               | package    
i | libXmu6                                    | Miscellaneous utility routines for X                                                                 | package    
i | libXmuu1                                   | More miscellaneous utility routines for X                                                            | package    
i | libXpm4                                    | X Pixmap image file format library                                                                   | package    
i | libXrandr2                                 | X Resize, Rotate and Reflection extension library                                                    | package    
i | libXrender1                                | X Rendering Extension library                                                                        | package    
i | libXss1                                    | X11 Screen Saver extension client library                                                            | package    
i | libXt6                                     | X Toolkit Intrinsics library                                                                         | package    
i | libXtst6                                   | Xlib-based client API for the XTEST and RECORD extensions                                            | package    
i | libXv1                                     | X Video extension library                                                                            | package    
i | libXvMC1                                   | X-Video Motion Compensation library                                                                  | package    
i | libXxf86dga1                               | XFree86-DGA extension client library                                                                 | package    
i | libXxf86misc1                              | XFree86-Misc X extension library                                                                     | package    
i | libXxf86vm-devel                           | Development files for the XFree86-VidMode X extension library                                        | package    
i | libXxf86vm1                                | XFree86-VidMode X extension library                                                                  | package    
i | libaa1                                     | An ASCII Art Library                                                                                 | package    
i | libabw-0_1-1                               | Library for parsing the AbiWord file format structure                                                | package    
i | libacl1                                    | A dynamic library for accessing POSIX Access Control Lists                                           | package    
i | libadns1                                   | Advanced DNS resolver client library                                                                 | package    
i | libaio1                                    | Linux-Native Asynchronous I/O Access Library                                                         | package    
i | libakonadi4                                | PIM Storage Service Client Libraries                                                                 | package    
i | libakonadiprotocolinternals1               | PIM Storage Service                                                                                  | package    
i | libamd-2_3_1                               | Symmetric Approximate Minimum Degree                                                                 | package    
i | libao-plugins4                             | Main output plugins for libao                                                                        | package    
i | libao4                                     | A Cross-Platform Audio Output Library                                                                | package    
i | libapparmor1                               | Utility library for AppArmor                                                                         | package    
i | libapr-util1                               | Apache Portable Runtime (APR) Library                                                                | package    
i | libapr1                                    | Apache Portable Runtime (APR) Library                                                                | package    
i | libarchive13                               | Library to work with several different streaming archive formats                                     | package    
i | libasan0                                   | The GNU Compiler Address Sanitizer Runtime Library                                                   | package    
i | libasm1                                    | A collection of utilities and DSOs to handle compiled objects                                        | package    
i | libasound2                                 | Advanced Linux Sound Architecture Library                                                            | package    
i | libaspell15                                | GNU Aspell Library                                                                                   | package    
i | libass5                                    | Portable Library for SSA/ASS Subtitles Rendering                                                     | package    
i | libassuan0                                 | IPC library used by GnuPG version 2                                                                  | package    
i | libastro1                                  | Astronomy: Shared Library                                                                            | package    
i | libatasmart4                               | ATA S.M.A.R.T. Disk Health Monitoring Library                                                        | package    
i | libatk-1_0-0                               | An Accessibility ToolKit                                                                             | package    
i | libatk-bridge-2_0-0                        | ATK/D-Bus bridging library                                                                           | package    
i | libatkmm-1_6-1                             | C++ Binding for the ATK library                                                                      | package    
i | libatm1                                    | Libraries for ATM                                                                                    | package    
i | libatomic1                                 | The GNU Compiler Atomic Operations Runtime Library                                                   | package    
i | libatspi0                                  | An Accessibility ToolKit -- Library                                                                  | package    
i | libattica0_4                               | Open Collaboration Service client library - development files                                        | package    
i | libattr1                                   | A dynamic library for filesystem extended attribute support                                          | package    
i | libaudiofile1                              | An Audio File Library                                                                                | package    
i | libaudit1                                  | Dynamic library for libaudit                                                                         | package    
i | libaugeas0                                 | A library for changing configuration files                                                           | package    
i | libauparse0                                | Dynamic library for libauparse                                                                       | package    
i | libavahi-client3                           | D-BUS Service for Zeroconf and Bonjour                                                               | package    
i | libavahi-common3                           | D-BUS Service for Zeroconf and Bonjour                                                               | package    
i | libavahi-core7                             | D-BUS Service for Zeroconf and Bonjour                                                               | package    
i | libavahi-glib1                             | Glib Bindings for avahi, the D-BUS Service for Zeroconf and Bonjour                                  | package    
i | libavc1394-0                               | Libavc1394--Programming Interface to the AV/C Specification                                          | package    
i | libbabl-0_1-0                              | Dynamic Pixel Format Translation Library                                                             | package    
i | libbaloofiles4                             | Files library for Baloo Framework                                                                    | package    
i | libbaloopim4                               | PIM library for Baloo Framework                                                                      | package    
i | libbalooqueryparser4                       | queryparser library for Baloo Framework                                                              | package    
i | libbaloowidgets4                           | KDE Core Libraries                                                                                   | package    
i | libbasicobjects0                           | Library containing basic objects like dynamic string                                                 | package    
i | libblas3                                   | BLAS Shared Library                                                                                  | package    
i | libblkid1                                  | Filesystem detection library                                                                         | package    
i | libbluedevil-devel                         | Qt Wrapper for Bluez                                                                                 | package    
i | libbluedevil2                              | Qt Wrapper for Bluez                                                                                 | package    
i | libbluetooth3                              | Bluetooth Libraries                                                                                  | package    
i | libbluray1                                 | Library to access Blu-Ray disk                                                                       | package    
i | libboost_date_time1_54_0                   | Boost::Date.Time Runtime libraries                                                                   | package    
i | libboost_filesystem1_54_0                  | Boost::Filesystem Runtime Libraries                                                                  | package    
i | libboost_iostreams1_54_0                   | Boost::IOStreams Runtime Libraries                                                                   | package    
i | libboost_program_options1_54_0             | Boost::ProgramOptions Runtime libraries                                                              | package    
i | libboost_regex1_54_0                       | The Boost::Regex runtime library                                                                     | package    
i | libboost_signals1_54_0                     | Boost::Signals Runtime Libraries                                                                     | package    
i | libboost_system1_54_0                      | Boost::System Runtime Libraries                                                                      | package    
i | libboost_thread1_54_0                      | Boost::Thread Runtime Libraries                                                                      | package    
i | libbtrfs0                                  | Library for interacting with Btrfs                                                                   | package    
i | libburn4                                   | Library for Writing Preformatted Data onto Optical Media                                             | package    
i | libbz2-1                                   | The bzip2 runtime library                                                                            | package    
i | libcaca0                                   | Library for Colour ASCII Art, text mode graphics                                                     | package    
i | libcairo-gobject2                          | Vector Graphics Library with Cross-Device Output Support                                             | package    
i | libcairo2                                  | Vector Graphics Library with Cross-Device Output Support                                             | package    
i | libcairomm-1_0-1                           | C++ interface for Cairo                                                                              | package    
i | libcamd-2_3_1                              | Symmetric Approximate Minimum Degree                                                                 | package    
i | libcanberra-gtk-module-common              | Portable sound event library -- Common Files for GTK+ Modules                                        | package    
i | libcanberra-gtk0                           | Portable sound event library -- GTK+ 2 Library                                                       | package    
i | libcanberra-gtk2-module                    | Portable sound event library -- GTK+ 2 Module                                                        | package    
i | libcanberra-gtk3-0                         | Portable sound event library -- GTK+ 3 Library                                                       | package    
i | libcanberra-gtk3-module                    | Portable sound event library -- GTK+ 3 Module                                                        | package    
i | libcanberra0                               | Portable sound event library                                                                         | package    
i | libcap-ng0                                 | An alternate POSIX capabilities library                                                              | package    
i | libcap2                                    | Library for Capabilities (linux-privs) Support                                                       | package    
i | libcares2                                  | Library for asynchronous name resolves                                                               | package    
i | libccolamd-2_8_0                           | Constrained Column Approximate Minimum Degree                                                        | package    
i | libcdda_interface0                         | Extracting, Verifying, and Fixing Audio Tracks from CDs - runtime library                            | package    
i | libcdda_paranoia0                          | Extracting, Verifying, and Fixing Audio Tracks from CDs - runtime library                            | package    
i | libcddb2                                   | CDDB Access Library                                                                                  | package    
i | libcdio14                                  | CD-ROM Access Library                                                                                | package    
i | libcdio_cdda1                              | CDDA reader                                                                                          | package    
i | libcdio_paranoia1                          | CDDA reader                                                                                          | package    
i | libcdr-0_1-1                               | Library for parsing the Corel Draw file format structure                                             | package    
i | libcelt0-2                                 | Ultra-Low Delay Audio Codec                                                                          | package    
i | libchm0                                    | A library for dealing with ITSS/CHM files                                                            | package    
i | libcholmod-2_1_2                           | Supernodal Sparse Cholesky Factorization and Update/Downdate                                         | package    
i | libchromaprint0                            | Audio Fingerprinting Library                                                                         | package    
i | libcloog-isl4                              | The CLOOG shared library using ISL                                                                   | package    
i | libclucene-contribs-lib1                   | Language specific text analyzers for clucene-core                                                    | package    
i | libclucene-core1                           | C++ implementation of the Lucene text search engine                                                  | package    
i | libclucene-shared1                         | CLucene cross-platform layer                                                                         | package    
i | libcmis-0_4-4                              | Library for accessing CMIS-enabled servers                                                           | package    
i | libcolamd-2_8_0                            | Column Approximate Minimum Degree                                                                    | package    
i | libcollection4                             | Collection data-type for C                                                                           | package    
i | libcolord2                                 | System Daemon for Managing Color Devices -- Library                                                  | package    
i | libcom_err2                                | E2fsprogs error reporting library                                                                    | package    
i | libconfig++9                               | Shared libraries for libconfig                                                                       | package    
i | libcpupower0                               | Obsolete processor frequency related C-library                                                       | package    
i | libcrack2                                  | Library to crack passwords using dictionaries                                                        | package    
i | libcroco-0_6-3                             | CSS2 Parser Library                                                                                  | package    
i | libcryptsetup4                             | Set Up dm-crypt Based Encrypted Block Devices                                                        | package    
i | libcurl4                                   | Version 4 of cURL shared library                                                                     | package    
i | libdaemon0                                 | Lightweight C library That Eases the Writing of UNIX Daemons                                         | package    
i | libdb-4_8                                  | Berkeley DB Database Library Version 4.8                                                             | package    
i | libdbus-1-3                                | Library package for D-Bus                                                                            | package    
i | libdbusmenu-qt2                            | Development package for dbusmenu-qt                                                                  | package    
i | libdc1394-22                               | 1394-Based Digital Camera Control Library                                                            | package    
i | libdcerpc-binding0                         | Some samba library                                                                                   | package    
i | libdcerpc0                                 | Distributed Computing Environment Remote Procedure Calls library                                     | package    
i | libdconf1                                  | Simple key-based configuration system -- Library                                                     | package    
i | libdhash1                                  | Dynamic hash table library                                                                           | package    
i | libdialog11                                | Menus and Input Boxes for Shell Scripts                                                              | package    
i | libdirac_encoder0                          | Dirac Video Codec Encoder Library                                                                    | package    
i | libdirectfb-1_7-5                          | Graphics Library for Framebuffer Devices                                                             | package    
i | libdiscid0                                 | Library for gathering DiscIDs and ISRCs from audio CDs                                               | package    
i | libdjvulibre21                             | Libraries of Open Source Implementation of DjVu - djvulibre                                          | package    
i | libdmtx0                                   | Software for reading and writing Data Matrix barcodes                                                | package    
i | libdmx1                                    | Distributed Multihead X extension library                                                            | package    
i | libdrm-devel                               | Libraries, includes and more to develop libdrm applications                                          | package    
i | libdrm2                                    | Userspace Interface for Kernel DRM Services                                                          | package    
i | libdrm_intel1                              | Userspace interface for Kernel DRM services for Intel chips                                          | package    
i | libdrm_nouveau2                            | Userspace interface for Kernel DRM services for NVIDIA chips                                         | package    
i | libdrm_radeon1                             | Userspace interface for Kernel DRM services for AMD Radeon chips                                     | package    
i | libdv4                                     | The Quasar DV Codec                                                                                  | package    
i | libdvbpsi7                                 | Library for Decoding and Generating MPEG TS and DVB PSI Tables                                       | package    
i | libdvbpsi9                                 | Library for Decoding and Generating MPEG TS and DVB PSI Tables                                       | package    
i | libdw1                                     | Library to access DWARF debugging information                                                        | package    
i | libdxflib-2_5_0_0_1                        | Parser library for the Drawing Exchange Format (DXF)                                                 | package    
i | libdxfrw0                                  | Library to read and write DXF files                                                                  | package    
i | libe-book-0_1-1                            | A library for import of non-HTML reflowable e-book formats                                           | package    
i | libebl1                                    | A collection of utilities and DSOs to handle compiled objects                                        | package    
i | libebml4                                   | Libary to Parse EBML Files                                                                           | package    
i | libedit0                                   | Command Line Editing and History Library                                                             | package    
i | libelf0                                    | An ELF Object File Access Library                                                                    | package    
i | libelf1                                    | Library to read and write ELF files                                                                  | package    
i | libenca0                                   | Header files and libraries for Enca development                                                      | package    
i | libenchant1                                | Generic Spell Checking Library                                                                       | package    
i | libepoxy0                                  | OpenGL function pointer management library                                                           | package    
i | libepub0                                   | A library for reading ebook files                                                                    | package    
i | libesd0                                    | A sound daemon for Enlightenment and GNOME                                                           | package    
i | libesmtp                                   | A Library for Posting Electronic Mail                                                                | package    
i | libestr0                                   | String handling essentials library                                                                   | package    
i | libetonyek-0_1-1                           | Library for parsing the Apple Keynote presentations                                                  | package    
i | libevdev2                                  | Library for handling evdev kernel devices                                                            | package    
i | libevent-2_0-5                             | An event notification library                                                                        | package    
i | libexif12                                  | An EXIF Tag Parsing Library for Digital Cameras                                                      | package    
i | libexiv2-13                                | Library to access image metadata                                                                     | package    
i | libexpat1                                  | XML Parser Toolkit                                                                                   | package    
i | libext2fs2                                 | Ext2fs library                                                                                       | package    
i | libexttextcat-2_0-0                        | Text categorization library                                                                          | package    
i | libexttextcat                              | Text categorization library datafiles and documents                                                  | package    
i | libfam0-gamin                              | Library providing the FAM File Alteration Monitor API                                                | package    
i | libfbembed2_5                              | Firebird SQL server embedded client library                                                          | package    
i | libffado2                                  | FireWire 1394 support for audio devices                                                              | package    
i | libffi4                                    | Foreign Function Interface library                                                                   | package    
i | libfftw3-3                                 | Discrete Fourier Transform (DFT) C Subroutine Library                                                | package    
i | libfipscheck1                              | Library files for fipscheck                                                                          | package    
i | libfltk1                                   | FLTK Library                                                                                         | package    
i | libfontenc1                                | X11 font encoding library                                                                            | package    
i | libfreebl3                                 | Freebl library for the Network Security Services                                                     | package    
i | libfreehand-0_1-1                          | Library for parsing the Adobe/Macromedia drawings                                                    | package    
i | libfreerdp-1_0                             | Remote Desktop Viewer Library                                                                        | package    
i | libfreerdp-1_0-plugins                     | Plugins for libfreerdp-1_0                                                                           | package    
i | libfreetype6                               | A TrueType Font Library                                                                              | package    
i | libfribidi0                                | Free Implementation of the Unicode BiDi Algorithm                                                    | package    
i | libftgl2                                   | Library for Using Arbitrary Fonts in OpenGL Applications                                             | package    
i | libfuse2                                   | Library of FUSE, the User space File System for GNU/Linux and BSD                                    | package    
i | libgadu3                                   | Library for Handling of Gadu-Gadu Instant Messaging                                                  | package    
i | libgbm1                                    | Generic buffer management API                                                                        | package    
i | libgc1                                     | A garbage collector for C and C++                                                                    | package    
i | libgcc_s1                                  | C compiler runtime library                                                                           | package    
i | libgck-1-0                                 | GObject library to access for PKCS#11 modules                                                        | package    
i | libgck-modules-gnome-keyring               | Glib wrapper library for PKCS#11 - Modules                                                           | package    
i | libgcr-3-1                                 | Library for Crypto UI related task                                                                   | package    
i | libgcrypt20                                | The GNU Crypto Library                                                                               | package    
